"ИД";"УРОВЕНЬ";"ДАТА_ГОС";"КВАЛ_ИД";"НС_ИД";"ТС_ИД";"НАПС_ИД";"КТО_СОЗДАЛ";"КОГДА_СОЗДАЛ";"КТО_ИЗМЕНИЛ";"КОГДА_ИЗМЕНИЛ";"ПРИМЕЧАНИЕ"
3505;3;2007-03-01 00:00:00.000;23;418;3;3597;ISU_UCHEB;2011-11-08 15:55:54.000;ISU_UCHEB;2011-11-08 15:55:54.000;
3519;3;2005-02-01 00:00:00.000;20;691;6;2070;ISU_UCHEB;2011-11-08 15:55:54.000;ISU_UCHEB;2011-11-08 15:55:54.000;
3520;3;2005-02-01 00:00:00.000;20;692;6;2070;ISU_UCHEB;2011-11-08 15:55:54.000;ISU_UCHEB;2011-11-08 15:55:54.000;
3528;3;2008-03-01 00:00:00.000;24;700;6;3526;ISU_UCHEB;2011-11-08 15:55:54.000;ISU_UCHEB;2011-11-08 15:55:54.000;
3537;3;2007-03-01 00:00:00.000;3;708;3;3592;ISU_UCHEB;2011-11-08 15:55:54.000;ISU_UCHEB;2011-11-08 15:55:54.000;
3538;3;2007-03-01 00:00:00.000;3;703;3;3616;ISU_UCHEB;2011-11-08 15:55:54.000;ISU_UCHEB;2011-11-08 15:55:54.000;
3539;3;2008-03-01 00:00:00.000;3;710;3;3608;ISU_UCHEB;2011-11-08 15:55:54.000;ISU_UCHEB;2011-11-08 15:55:54.000;
3540;3;2008-03-01 00:00:00.000;3;705;3;3601;ISU_UCHEB;2011-11-08 15:55:54.000;ISU_UCHEB;2011-11-08 15:55:54.000;
56;3;2000-03-01 00:00:00.000;1;120;1;3648;ISU_UCHEB;2011-11-08 15:55:54.000;ISU_UCHEB;2011-11-08 15:55:54.000;
3559;3;2008-09-01 00:00:00.000;3;714;6;2074;ISU_UCHEB;2011-11-08 15:55:54.000;ISU_UCHEB;2011-11-08 15:55:54.000;
3567;0;1999-09-09 00:00:00.000;26;579;9;;ISU_UCHEB;2011-11-08 15:55:54.000;ISU_UCHEB;2011-11-08 15:55:54.000;
3568;2;2010-05-01 00:00:00.000;2;724;2;3599;ISU_UCHEB;2011-11-08 15:55:54.000;ISU_UCHEB;2011-11-08 15:55:54.000;
3572;0;1999-09-09 00:00:00.000;26;574;9;;ISU_UCHEB;2011-11-08 15:55:54.000;ISU_UCHEB;2011-11-08 15:55:54.000;
3590;2;2010-05-01 00:00:00.000;2;316;2;3613;ISU_UCHEB;2011-11-08 15:55:54.000;ISU_UCHEB;2011-11-08 15:55:54.000;
3592;0;1999-09-09 00:00:00.000;26;577;9;;ISU_UCHEB;2011-11-08 15:55:54.000;ISU_UCHEB;2011-11-08 15:55:54.000;
3594;0;1999-09-09 00:00:00.000;26;580;9;;ISU_UCHEB;2011-11-08 15:55:54.000;ISU_UCHEB;2011-11-08 15:55:54.000;
3597;0;1999-09-09 00:00:00.000;26;575;9;;ISU_UCHEB;2011-11-08 15:55:54.000;ISU_UCHEB;2011-11-08 15:55:54.000;
3598;3;2010-05-01 00:00:00.000;3;724;3;3599;ISU_UCHEB;2011-11-08 15:55:54.000;ISU_UCHEB;2011-11-08 15:55:54.000;
3599;0;1999-09-09 00:00:00.000;26;573;9;;ISU_UCHEB;2011-11-08 15:55:54.000;ISU_UCHEB;2011-11-08 15:55:54.000;
3601;0;1999-09-09 00:00:00.000;26;581;9;;ISU_UCHEB;2011-11-08 15:55:54.000;ISU_UCHEB;2011-11-08 15:55:54.000;
3605;0;1999-09-09 00:00:00.000;26;578;9;;ISU_UCHEB;2011-11-08 15:55:54.000;ISU_UCHEB;2011-11-08 15:55:54.000;
3608;0;1999-09-09 00:00:00.000;26;576;9;;ISU_UCHEB;2011-11-08 15:55:54.000;ISU_UCHEB;2011-11-08 15:55:54.000;
3609;3;2010-05-01 00:00:00.000;3;710;3;3608;ISU_UCHEB;2011-11-08 15:55:54.000;ISU_UCHEB;2011-11-08 15:55:54.000;
58;3;2000-03-01 00:00:00.000;1;17;1;3648;ISU_UCHEB;2011-11-08 15:55:54.000;ISU_UCHEB;2011-11-08 15:55:54.000;
60;3;2000-03-01 00:00:00.000;1;21;1;3648;ISU_UCHEB;2011-11-08 15:55:54.000;ISU_UCHEB;2011-11-08 15:55:54.000;
891;3;1995-03-01 00:00:00.000;4;87;4;3655;ISU_UCHEB;2011-11-08 15:55:54.000;ISU_UCHEB;2011-11-08 15:55:54.000;
900;3;2000-03-01 00:00:00.000;12;87;4;3655;ISU_UCHEB;2011-11-08 15:55:54.000;ISU_UCHEB;2011-11-08 15:55:54.000;
529;3;1995-03-01 00:00:00.000;6;41;4;3643;ISU_UCHEB;2011-11-08 15:55:54.000;ISU_UCHEB;2011-11-08 15:55:54.000;
1118;3;2000-03-01 00:00:00.000;6;41;4;3643;ISU_UCHEB;2011-11-08 15:55:54.000;ISU_UCHEB;2011-11-08 15:55:54.000;
588;3;1995-03-01 00:00:00.000;1;99;4;3650;ISU_UCHEB;2011-11-08 15:55:54.000;ISU_UCHEB;2011-11-08 15:55:54.000;
801;3;2000-03-01 00:00:00.000;1;99;4;3650;ISU_UCHEB;2011-11-08 15:55:54.000;ISU_UCHEB;2011-11-08 15:55:54.000;
5;3;1995-03-01 00:00:00.000;1;113;4;3650;ISU_UCHEB;2011-11-08 15:55:54.000;ISU_UCHEB;2011-11-08 15:55:54.000;
6;3;2000-03-01 00:00:00.000;1;113;4;3650;ISU_UCHEB;2011-11-08 15:55:54.000;ISU_UCHEB;2011-11-08 15:55:54.000;
505;3;1995-03-01 00:00:00.000;1;46;4;3650;ISU_UCHEB;2011-11-08 15:55:54.000;ISU_UCHEB;2011-11-08 15:55:54.000;
1139;3;2000-03-01 00:00:00.000;1;23;4;60;ISU_UCHEB;2011-11-08 15:55:54.000;ISU_UCHEB;2011-11-08 15:55:54.000;
215;3;1995-03-01 00:00:00.000;1;32;4;3650;ISU_UCHEB;2011-11-08 15:55:54.000;ISU_UCHEB;2011-11-08 15:55:54.000;
809;3;2000-03-01 00:00:00.000;1;32;4;50;ISU_UCHEB;2011-11-08 15:55:54.000;ISU_UCHEB;2011-11-08 15:55:54.000;
825;3;2000-03-01 00:00:00.000;1;119;4;3657;ISU_UCHEB;2011-11-08 15:55:54.000;ISU_UCHEB;2011-11-08 15:55:54.000;
592;3;1995-03-01 00:00:00.000;1;75;4;3657;ISU_UCHEB;2011-11-08 15:55:54.000;ISU_UCHEB;2011-11-08 15:55:54.000;
507;3;1995-03-01 00:00:00.000;1;70;4;3647;ISU_UCHEB;2011-11-08 15:55:54.000;ISU_UCHEB;2011-11-08 15:55:54.000;
797;3;2000-03-01 00:00:00.000;1;70;4;3647;ISU_UCHEB;2011-11-08 15:55:54.000;ISU_UCHEB;2011-11-08 15:55:54.000;
515;3;1995-03-01 00:00:00.000;1;52;4;3647;ISU_UCHEB;2011-11-08 15:55:54.000;ISU_UCHEB;2011-11-08 15:55:54.000;
802;3;2000-03-01 00:00:00.000;1;52;4;50;ISU_UCHEB;2011-11-08 15:55:54.000;ISU_UCHEB;2011-11-08 15:55:54.000;
513;3;1995-03-01 00:00:00.000;1;106;4;3647;ISU_UCHEB;2011-11-08 15:55:54.000;ISU_UCHEB;2011-11-08 15:55:54.000;
795;3;2000-03-01 00:00:00.000;1;106;4;3647;ISU_UCHEB;2011-11-08 15:55:54.000;ISU_UCHEB;2011-11-08 15:55:54.000;
514;3;1995-03-01 00:00:00.000;1;60;4;3647;ISU_UCHEB;2011-11-08 15:55:54.000;ISU_UCHEB;2011-11-08 15:55:54.000;
806;3;2000-03-01 00:00:00.000;1;60;4;50;ISU_UCHEB;2011-11-08 15:55:54.000;ISU_UCHEB;2011-11-08 15:55:54.000;
530;3;1995-03-01 00:00:00.000;1;110;4;3659;ISU_UCHEB;2011-11-08 15:55:54.000;ISU_UCHEB;2011-11-08 15:55:54.000;
823;3;2000-03-01 00:00:00.000;1;110;4;3605;ISU_UCHEB;2011-11-08 15:55:54.000;ISU_UCHEB;2011-11-08 15:55:54.000;
113;3;1995-03-01 00:00:00.000;1;8;4;3658;ISU_UCHEB;2011-11-08 15:55:54.000;ISU_UCHEB;2011-11-08 15:55:54.000;
700;3;2000-03-01 00:00:00.000;1;8;4;58;ISU_UCHEB;2011-11-08 15:55:54.000;ISU_UCHEB;2011-11-08 15:55:54.000;
187;3;1995-03-01 00:00:00.000;1;109;5;113;ISU_UCHEB;2011-11-08 15:55:54.000;ISU_UCHEB;2011-11-08 15:55:54.000;
792;3;2000-03-01 00:00:00.000;1;109;5;700;ISU_UCHEB;2011-11-08 15:55:54.000;ISU_UCHEB;2011-11-08 15:55:54.000;
125;3;1995-03-01 00:00:00.000;1;66;5;113;ISU_UCHEB;2011-11-08 15:55:54.000;ISU_UCHEB;2011-11-08 15:55:54.000;
134;3;1995-03-01 00:00:00.000;1;19;5;113;ISU_UCHEB;2011-11-08 15:55:54.000;ISU_UCHEB;2011-11-08 15:55:54.000;
1047;3;1995-03-01 00:00:00.000;1;93;5;113;ISU_UCHEB;2011-11-08 15:55:54.000;ISU_UCHEB;2011-11-08 15:55:54.000;
1218;3;1995-03-01 00:00:00.000;1;7;5;113;ISU_UCHEB;2011-11-08 15:55:54.000;ISU_UCHEB;2011-11-08 15:55:54.000;
506;3;1995-03-01 00:00:00.000;1;91;4;3658;ISU_UCHEB;2011-11-08 15:55:54.000;ISU_UCHEB;2011-11-08 15:55:54.000;
898;3;2000-03-01 00:00:00.000;1;91;4;58;ISU_UCHEB;2011-11-08 15:55:54.000;ISU_UCHEB;2011-11-08 15:55:54.000;
504;3;1995-03-01 00:00:00.000;1;82;4;3658;ISU_UCHEB;2011-11-08 15:55:54.000;ISU_UCHEB;2011-11-08 15:55:54.000;
262;2;1995-03-01 00:00:00.000;15;78;2;3652;ISU_UCHEB;2011-11-08 15:55:54.000;ISU_UCHEB;2011-11-08 15:55:54.000;
1243;3;2002-03-01 00:00:00.000;1;142;4;3650;ISU_UCHEB;2011-11-08 15:55:54.000;ISU_UCHEB;2011-11-08 15:55:54.000;
1249;3;2000-03-01 00:00:00.000;1;19;5;700;ISU_UCHEB;2011-11-08 15:55:54.000;ISU_UCHEB;2011-11-08 15:55:54.000;
1250;3;2000-03-01 00:00:00.000;1;66;5;700;ISU_UCHEB;2011-11-08 15:55:54.000;ISU_UCHEB;2011-11-08 15:55:54.000;
1251;3;2000-03-01 00:00:00.000;1;93;5;700;ISU_UCHEB;2011-11-08 15:55:54.000;ISU_UCHEB;2011-11-08 15:55:54.000;
1257;3;2000-03-01 00:00:00.000;3;5;6;74;ISU_UCHEB;2011-11-08 15:55:54.000;ISU_UCHEB;2011-11-08 15:55:54.000;
1258;3;2000-03-01 00:00:00.000;3;89;6;74;ISU_UCHEB;2011-11-08 15:55:54.000;ISU_UCHEB;2011-11-08 15:55:54.000;
1259;3;2000-03-01 00:00:00.000;3;92;6;74;ISU_UCHEB;2011-11-08 15:55:54.000;ISU_UCHEB;2011-11-08 15:55:54.000;
1261;3;2000-03-01 00:00:00.000;8;23;4;3650;ISU_UCHEB;2011-11-08 15:55:54.000;ISU_UCHEB;2011-11-08 15:55:54.000;
