"ИД";"ОТД_ИД";"НОМЕР_СЕМЕСТРА";"СПЛ_ИД";"НЕДЕЛЬ";"КТО_СОЗДАЛ";"КОГДА_СОЗДАЛ";"КТО_ИЗМЕНИЛ";"КОГДА_ИЗМЕНИЛ"
12180;209;3;9433;17;ISU_UCHEB;2011-11-08 15:55:54.000;ISU_UCHEB;2011-11-08 15:55:54.000
12181;111;4;9434;17;ISU_UCHEB;2011-11-08 15:55:54.000;ISU_UCHEB;2011-11-08 15:55:54.000
12182;509;4;9435;17;ISU_UCHEB;2011-11-08 15:55:54.000;ISU_UCHEB;2011-11-08 15:55:54.000
12183;102;4;9436;17;ISU_UCHEB;2011-11-08 15:55:54.000;ISU_UCHEB;2011-11-08 15:55:54.000
12184;209;4;9437;17;ISU_UCHEB;2011-11-08 15:55:54.000;ISU_UCHEB;2011-11-08 15:55:54.000
12185;102;4;9438;17;ISU_UCHEB;2011-11-08 15:55:54.000;ISU_UCHEB;2011-11-08 15:55:54.000
12186;210;3;9439;17;ISU_UCHEB;2011-11-08 15:55:54.000;ISU_UCHEB;2011-11-08 15:55:54.000
12187;210;4;9439;17;ISU_UCHEB;2011-11-08 15:55:54.000;ISU_UCHEB;2011-11-08 15:55:54.000
12188;302;3;9440;17;ISU_UCHEB;2011-11-08 15:55:54.000;ISU_UCHEB;2011-11-08 15:55:54.000
12189;302;4;9440;17;ISU_UCHEB;2011-11-08 15:55:54.000;ISU_UCHEB;2011-11-08 15:55:54.000
12190;310;4;9441;17;ISU_UCHEB;2011-11-08 15:55:54.000;ISU_UCHEB;2011-11-08 15:55:54.000
12191;501;3;9442;17;ISU_UCHEB;2011-11-08 15:55:54.000;ISU_UCHEB;2011-11-08 15:55:54.000
25768;111;11;20340;17;ISU_UCHEB;2011-11-08 15:55:54.000;ISU_UCHEB;2011-11-08 15:55:54.000
25769;507;11;20340;17;ISU_UCHEB;2011-11-08 15:55:54.000;ISU_UCHEB;2011-11-08 15:55:54.000
25770;102;11;20341;17;ISU_UCHEB;2011-11-08 15:55:54.000;ISU_UCHEB;2011-11-08 15:55:54.000
25771;511;11;20342;17;ISU_UCHEB;2011-11-08 15:55:54.000;ISU_UCHEB;2011-11-08 15:55:54.000
25772;310;11;20343;17;ISU_UCHEB;2011-11-08 15:55:54.000;ISU_UCHEB;2011-11-08 15:55:54.000
25773;507;11;20344;17;ISU_UCHEB;2011-11-08 15:55:54.000;ISU_UCHEB;2011-11-08 15:55:54.000
25774;102;11;20345;17;ISU_UCHEB;2011-11-08 15:55:54.000;ISU_UCHEB;2011-11-08 15:55:54.000
25775;102;11;20346;17;ISU_UCHEB;2011-11-08 15:55:54.000;ISU_UCHEB;2011-11-08 15:55:54.000
25776;111;11;20347;17;ISU_UCHEB;2011-11-08 15:55:54.000;ISU_UCHEB;2011-11-08 15:55:54.000
25777;507;11;20347;17;ISU_UCHEB;2011-11-08 15:55:54.000;ISU_UCHEB;2011-11-08 15:55:54.000
25778;102;11;20348;17;ISU_UCHEB;2011-11-08 15:55:54.000;ISU_UCHEB;2011-11-08 15:55:54.000
25779;511;11;20349;17;ISU_UCHEB;2011-11-08 15:55:54.000;ISU_UCHEB;2011-11-08 15:55:54.000
25780;310;11;20350;17;ISU_UCHEB;2011-11-08 15:55:54.000;ISU_UCHEB;2011-11-08 15:55:54.000
25781;507;11;20351;17;ISU_UCHEB;2011-11-08 15:55:54.000;ISU_UCHEB;2011-11-08 15:55:54.000
25782;102;11;20352;17;ISU_UCHEB;2011-11-08 15:55:54.000;ISU_UCHEB;2011-11-08 15:55:54.000
25783;102;11;20353;17;ISU_UCHEB;2011-11-08 15:55:54.000;ISU_UCHEB;2011-11-08 15:55:54.000
25784;111;11;20354;17;ISU_UCHEB;2011-11-08 15:55:54.000;ISU_UCHEB;2011-11-08 15:55:54.000
25785;507;11;20354;17;ISU_UCHEB;2011-11-08 15:55:54.000;ISU_UCHEB;2011-11-08 15:55:54.000
25786;102;11;20355;17;ISU_UCHEB;2011-11-08 15:55:54.000;ISU_UCHEB;2011-11-08 15:55:54.000
25787;511;11;20356;17;ISU_UCHEB;2011-11-08 15:55:54.000;ISU_UCHEB;2011-11-08 15:55:54.000
25788;310;11;20357;17;ISU_UCHEB;2011-11-08 15:55:54.000;ISU_UCHEB;2011-11-08 15:55:54.000
25789;507;11;20358;17;ISU_UCHEB;2011-11-08 15:55:54.000;ISU_UCHEB;2011-11-08 15:55:54.000
59839;212;9;47780;17;ISU_UCHEB;2011-11-08 15:55:54.000;ISU_UCHEB;2011-11-08 15:55:54.000
59840;518;9;47781;17;ISU_UCHEB;2011-11-08 15:55:54.000;ISU_UCHEB;2011-11-08 15:55:54.000
