"ИД";"ЧЛВК_ИД";"ПРИЗНАК";"СОСТОЯНИЕ";"НАЧАЛО";"КОНЕЦ";"ПЛАН_ИД";"ГРУППА";"П_ПРКОК_ИД";"ВИД_ОБУЧ_ИД";"ПРИМЕЧАНИЕ";"КТО_СОЗДАЛ";"КОГДА_СОЗДАЛ";"КТО_ИЗМЕНИЛ";"КОГДА_ИЗМЕНИЛ";"КОНЕЦ_ПО_ПРИКАЗУ";"ВМЕСТО";"В_СВЯЗИ_С";"ТЕКСТ"
60537;119372;академ;утвержден;2004-04-23 00:00:00.000;2005-02-06 00:00:00.000;1909;"4538";193394;1;;ISU_UCHEB;2011-11-08 15:55:53.000;ISU_UCHEB;2011-11-08 15:55:53.000;2005-02-08 00:00:00.000;;82093;
60538;117929;академ;утвержден;2004-04-26 00:00:00.000;2005-02-07 00:00:00.000;1635;"5538";193402;1;;ISU_UCHEB;2011-11-08 15:55:53.000;ISU_UCHEB;2011-11-08 15:55:53.000;2005-02-08 00:00:00.000;;82493;
74981;119397;обучен;утвержден;2004-09-01 00:00:00.000;2004-09-01 00:00:00.000;2161;"5101";201942;1;;ISU_UCHEB;2011-11-08 15:55:53.000;ISU_UCHEB;2011-11-08 15:55:53.000;2005-08-31 00:00:00.000;;76426;
60766;116559;академ;утвержден;2004-06-15 00:00:00.000;2005-01-31 00:00:00.000;1733;"6112";195850;1;;ISU_UCHEB;2011-11-08 15:55:53.000;ISU_UCHEB;2011-11-08 15:55:53.000;2005-01-31 00:00:00.000;;82668;
60499;119200;академ;утвержден;2004-04-22 00:00:00.000;2005-02-06 00:00:00.000;1909;"4538";193141;1;;ISU_UCHEB;2011-11-08 15:55:53.000;ISU_UCHEB;2011-11-08 15:55:53.000;2005-02-08 00:00:00.000;;82092;
60615;116687;продлен;утвержден;2004-05-31 00:00:00.000;2005-01-29 00:00:00.000;1852;"5896";194176;1;;ISU_UCHEB;2011-11-08 15:55:53.000;ISU_UCHEB;2011-11-08 15:55:53.000;2005-01-31 00:00:00.000;;81307;
60691;120185;академ;утвержден;2004-06-15 00:00:00.000;2004-08-31 00:00:00.000;1722;"4100";195600;1;;ISU_UCHEB;2011-11-08 15:55:53.000;ISU_UCHEB;2011-11-08 15:55:53.000;2004-08-31 00:00:00.000;;77372;
60692;120230;академ;утвержден;2004-06-15 00:00:00.000;2004-08-31 00:00:00.000;1722;"4103";195600;1;;ISU_UCHEB;2011-11-08 15:55:53.000;ISU_UCHEB;2011-11-08 15:55:53.000;2004-08-31 00:00:00.000;;77371;
75004;120158;обучен;утвержден;2004-09-01 00:00:00.000;2004-11-30 00:00:00.000;2357;"5110";201715;1;;ISU_UCHEB;2011-11-08 15:55:53.000;ISU_UCHEB;2011-11-08 15:55:53.000;2005-08-31 00:00:00.000;;80352;
75015;120160;обучен;утвержден;2004-09-01 00:00:00.000;2005-08-31 00:00:00.000;2358;"5111";201715;1;;ISU_UCHEB;2011-11-08 15:55:53.000;ISU_UCHEB;2011-11-08 15:55:53.000;2005-08-31 00:00:00.000;;93532;
60533;121794;отчисл;утвержден;2004-05-24 00:00:00.000;2004-08-31 00:00:00.000;1757;"3539";193381;1;;ISU_UCHEB;2011-11-08 15:55:53.000;ISU_UCHEB;2011-11-08 15:55:53.000;9999-09-09 00:00:00.000;;72027;
60584;120141;отчисл;утвержден;2004-05-25 00:00:00.000;2005-08-31 00:00:00.000;1722;"4102";193965;1;;ISU_UCHEB;2011-11-08 15:55:53.000;ISU_UCHEB;2011-11-08 15:55:53.000;9999-09-09 00:00:00.000;;102089;
60754;116408;диплом;утвержден;2004-06-30 00:00:00.000;2004-06-30 00:00:00.000;1676;"6539";195721;1;;ISU_UCHEB;2011-11-08 15:55:53.000;ISU_UCHEB;2011-11-08 15:55:53.000;9999-09-09 00:00:00.000;;83881;
60755;105590;диплом;утвержден;2004-06-30 00:00:00.000;2004-06-30 00:00:00.000;1676;"6539";195721;1;;ISU_UCHEB;2011-11-08 15:55:53.000;ISU_UCHEB;2011-11-08 15:55:53.000;9999-09-09 00:00:00.000;;75684;
60756;116446;диплом;утвержден;2004-06-30 00:00:00.000;2004-11-19 00:00:00.000;1676;"6539";195721;1;;ISU_UCHEB;2011-11-08 15:55:53.000;ISU_UCHEB;2011-11-08 15:55:53.000;9999-09-09 00:00:00.000;;79983;
60757;116479;диплом;утвержден;2004-06-30 00:00:00.000;2004-06-30 00:00:00.000;1676;"6539";195721;1;;ISU_UCHEB;2011-11-08 15:55:53.000;ISU_UCHEB;2011-11-08 15:55:53.000;9999-09-09 00:00:00.000;;79307;
60655;130705;отчисл;утвержден;2004-06-01 00:00:00.000;2004-08-31 00:00:00.000;1789;"1103";194533;1;;ISU_UCHEB;2011-11-08 15:55:53.000;ISU_UCHEB;2011-11-08 15:55:53.000;9999-09-09 00:00:00.000;;75754;
