"ГРУППА";"ПЛАН_ИД";"КТО_СОЗДАЛ";"КОГДА_СОЗДАЛ";"КТО_ИЗМЕНИЛ";"КОГДА_ИЗМЕНИЛ"
"454";90;ISU_UCHEB;2011-11-08 15:56:02.000;ISU_UCHEB;2011-11-08 15:56:02.000
"454";91;ISU_UCHEB;2011-11-08 15:56:02.000;ISU_UCHEB;2011-11-08 15:56:02.000
"454";92;ISU_UCHEB;2011-11-08 15:56:02.000;ISU_UCHEB;2011-11-08 15:56:02.000
"554";93;ISU_UCHEB;2011-11-08 15:56:02.000;ISU_UCHEB;2011-11-08 15:56:02.000
"554";94;ISU_UCHEB;2011-11-08 15:56:02.000;ISU_UCHEB;2011-11-08 15:56:02.000
"654";95;ISU_UCHEB;2011-11-08 15:56:02.000;ISU_UCHEB;2011-11-08 15:56:02.000
"150";1427;ISU_UCHEB;2011-11-08 15:56:02.000;ISU_UCHEB;2011-11-08 15:56:02.000
"151";1427;ISU_UCHEB;2011-11-08 15:56:02.000;ISU_UCHEB;2011-11-08 15:56:02.000
"152";1427;ISU_UCHEB;2011-11-08 15:56:02.000;ISU_UCHEB;2011-11-08 15:56:02.000
"454";282;ISU_UCHEB;2011-11-08 15:56:02.000;ISU_UCHEB;2011-11-08 15:56:02.000
"550";283;ISU_UCHEB;2011-11-08 15:56:02.000;ISU_UCHEB;2011-11-08 15:56:02.000
"551";284;ISU_UCHEB;2011-11-08 15:56:02.000;ISU_UCHEB;2011-11-08 15:56:02.000
"554";285;ISU_UCHEB;2011-11-08 15:56:02.000;ISU_UCHEB;2011-11-08 15:56:02.000
"553";303;ISU_UCHEB;2011-11-08 15:56:02.000;ISU_UCHEB;2011-11-08 15:56:02.000
"553";304;ISU_UCHEB;2011-11-08 15:56:02.000;ISU_UCHEB;2011-11-08 15:56:02.000
"553";305;ISU_UCHEB;2011-11-08 15:56:02.000;ISU_UCHEB;2011-11-08 15:56:02.000
"652";306;ISU_UCHEB;2011-11-08 15:56:02.000;ISU_UCHEB;2011-11-08 15:56:02.000
"652";307;ISU_UCHEB;2011-11-08 15:56:02.000;ISU_UCHEB;2011-11-08 15:56:02.000
"652";308;ISU_UCHEB;2011-11-08 15:56:02.000;ISU_UCHEB;2011-11-08 15:56:02.000
"138";309;ISU_UCHEB;2011-11-08 15:56:02.000;ISU_UCHEB;2011-11-08 15:56:02.000
"139";309;ISU_UCHEB;2011-11-08 15:56:02.000;ISU_UCHEB;2011-11-08 15:56:02.000
"238";310;ISU_UCHEB;2011-11-08 15:56:02.000;ISU_UCHEB;2011-11-08 15:56:02.000
"239";310;ISU_UCHEB;2011-11-08 15:56:02.000;ISU_UCHEB;2011-11-08 15:56:02.000
"338";311;ISU_UCHEB;2011-11-08 15:56:02.000;ISU_UCHEB;2011-11-08 15:56:02.000
"339";311;ISU_UCHEB;2011-11-08 15:56:02.000;ISU_UCHEB;2011-11-08 15:56:02.000
"438";312;ISU_UCHEB;2011-11-08 15:56:02.000;ISU_UCHEB;2011-11-08 15:56:02.000
"439";312;ISU_UCHEB;2011-11-08 15:56:02.000;ISU_UCHEB;2011-11-08 15:56:02.000
"538";313;ISU_UCHEB;2011-11-08 15:56:02.000;ISU_UCHEB;2011-11-08 15:56:02.000
"539";313;ISU_UCHEB;2011-11-08 15:56:02.000;ISU_UCHEB;2011-11-08 15:56:02.000
"638";314;ISU_UCHEB;2011-11-08 15:56:02.000;ISU_UCHEB;2011-11-08 15:56:02.000
"639";314;ISU_UCHEB;2011-11-08 15:56:02.000;ISU_UCHEB;2011-11-08 15:56:02.000
"495";1097;ISU_UCHEB;2011-11-08 15:56:02.000;ISU_UCHEB;2011-11-08 15:56:02.000
"451";1118;ISU_UCHEB;2011-11-08 15:56:02.000;ISU_UCHEB;2011-11-08 15:56:02.000
"555";1120;ISU_UCHEB;2011-11-08 15:56:02.000;ISU_UCHEB;2011-11-08 15:56:02.000
"138";162;ISU_UCHEB;2011-11-08 15:56:02.000;ISU_UCHEB;2011-11-08 15:56:02.000
"139";162;ISU_UCHEB;2011-11-08 15:56:02.000;ISU_UCHEB;2011-11-08 15:56:02.000
"238";163;ISU_UCHEB;2011-11-08 15:56:02.000;ISU_UCHEB;2011-11-08 15:56:02.000
"239";163;ISU_UCHEB;2011-11-08 15:56:02.000;ISU_UCHEB;2011-11-08 15:56:02.000
"338";164;ISU_UCHEB;2011-11-08 15:56:02.000;ISU_UCHEB;2011-11-08 15:56:02.000
"339";164;ISU_UCHEB;2011-11-08 15:56:02.000;ISU_UCHEB;2011-11-08 15:56:02.000
"438";165;ISU_UCHEB;2011-11-08 15:56:02.000;ISU_UCHEB;2011-11-08 15:56:02.000
"439";165;ISU_UCHEB;2011-11-08 15:56:02.000;ISU_UCHEB;2011-11-08 15:56:02.000
"538";166;ISU_UCHEB;2011-11-08 15:56:02.000;ISU_UCHEB;2011-11-08 15:56:02.000
"539";166;ISU_UCHEB;2011-11-08 15:56:02.000;ISU_UCHEB;2011-11-08 15:56:02.000
